Layer, q_weight, q_input, q_output, k_weight, k_input, k_output, v_weight, v_input, v_output, o_weight, o_input, o_output, gate_weight, gate_input, gate_output, up_weight, up_input, up_output, down_weight, down_input, down_output
Layer 1, 0.7734375, 4.89453125, 11.7265625, 0.81640625, 4.89453125, 6.0390625, 0.1318359375, 4.89453125, 1.1513671875, 0.447265625, 1.1513671875, 0.9619140625, 0.8828125, 2.09765625, 3.62109375, 0.337890625, 2.09765625, 1.642578125, 0.5234375, 3.728515625, 4.08203125
Layer 2, 0.46875, 9.484375, 10.7734375, 0.56640625, 9.484375, 8.3984375, 0.125, 9.484375, 1.7939453125, 0.5859375, 1.6083984375, 2.271484375, 1.0859375, 1.611328125, 39.5625, 0.400390625, 1.611328125, 34.4375, 1.546875, 1362.0, 2170.0
Layer 3, 1.0859375, 7.5234375, 11.3203125, 0.37109375, 7.5234375, 16.453125, 0.146484375, 7.5234375, 3.73046875, 0.6015625, 1.2080078125, 3.0390625, 0.5234375, 5.62109375, 5.0078125, 0.453125, 5.62109375, 2.802734375, 0.890625, 4.52734375, 4.1640625
Layer 4, 0.7734375, 9.5859375, 14.0390625, 0.40625, 9.5859375, 16.640625, 0.1376953125, 9.5859375, 3.681640625, 0.53515625, 2.978515625, 4.19140625, 0.5703125, 3.45703125, 8.828125, 0.498046875, 3.45703125, 3.103515625, 0.67578125, 7.56640625, 4.4296875
Layer 5, 0.671875, 10.5078125, 12.296875, 0.5078125, 10.5078125, 17.65625, 0.1396484375, 10.5078125, 4.03125, 0.6171875, 1.9833984375, 4.703125, 0.515625, 7.4453125, 5.15625, 0.47265625, 7.4453125, 3.365234375, 0.96484375, 11.6015625, 9.4609375
Layer 6, 0.63671875, 10.84375, 12.7734375, 0.330078125, 10.84375, 19.625, 0.263671875, 10.84375, 3.560546875, 0.5234375, 2.294921875, 4.4296875, 0.439453125, 5.30859375, 5.37890625, 0.484375, 5.30859375, 7.05078125, 0.7265625, 7.0703125, 4.08203125
Layer 7, 0.61328125, 12.59375, 17.015625, 0.3046875, 12.59375, 18.578125, 0.28515625, 12.59375, 4.5390625, 0.59765625, 3.37890625, 4.61328125, 0.4140625, 5.77734375, 6.7578125, 0.5625, 5.77734375, 4.1171875, 0.9140625, 14.265625, 8.8046875
Layer 8, 0.75390625, 13.4296875, 20.078125, 0.314453125, 13.4296875, 21.015625, 0.2236328125, 13.4296875, 5.28515625, 0.5546875, 3.89453125, 3.96484375, 0.44921875, 6.72265625, 9.75, 0.3515625, 6.72265625, 6.296875, 0.9375, 15.7734375, 12.3046875
Layer 9, 0.5546875, 19.6875, 17.03125, 0.306640625, 19.6875, 18.3125, 0.2060546875, 19.6875, 5.31640625, 0.75, 2.837890625, 6.07421875, 0.38671875, 8.9296875, 14.53125, 0.64453125, 8.9296875, 9.984375, 0.79296875, 27.40625, 18.4375
Layer 10, 0.7734375, 24.65625, 13.7578125, 0.3515625, 24.65625, 18.859375, 0.2421875, 24.65625, 6.8046875, 0.5390625, 2.849609375, 4.27734375, 0.373046875, 11.4140625, 8.578125, 0.60546875, 11.4140625, 7.546875, 0.66015625, 15.109375, 10.5
Layer 11, 0.4609375, 33.03125, 14.390625, 0.2890625, 33.03125, 18.390625, 0.2578125, 33.03125, 9.0, 0.41015625, 4.203125, 6.33984375, 0.5234375, 6.328125, 8.21875, 0.388671875, 6.328125, 5.5234375, 1.015625, 7.1484375, 7.109375
Layer 12, 0.6015625, 26.859375, 21.859375, 0.275390625, 26.859375, 17.4375, 0.296875, 26.859375, 8.34375, 0.5703125, 3.591796875, 4.68359375, 0.400390625, 6.58203125, 9.1640625, 0.419921875, 6.58203125, 5.40625, 0.7578125, 9.671875, 4.78125
Layer 13, 0.5234375, 27.546875, 16.03125, 0.296875, 27.546875, 17.796875, 0.2490234375, 27.546875, 7.2890625, 0.51171875, 3.01953125, 4.19140625, 0.353515625, 8.0546875, 8.2890625, 0.2421875, 8.0546875, 5.17578125, 0.64453125, 11.6953125, 4.19140625
Layer 14, 0.6796875, 23.171875, 15.53125, 0.296875, 23.171875, 18.90625, 0.228515625, 23.171875, 7.00390625, 0.50390625, 3.884765625, 5.11328125, 0.365234375, 9.703125, 7.97265625, 0.427734375, 9.703125, 5.7734375, 1.0625, 10.703125, 5.3984375
Layer 15, 0.56640625, 24.15625, 17.25, 0.3125, 24.15625, 18.484375, 0.33203125, 24.15625, 8.71875, 0.58984375, 3.2265625, 6.921875, 0.33984375, 8.5546875, 8.3125, 0.470703125, 8.5546875, 6.41015625, 0.65625, 13.578125, 4.98046875
Layer 16, 0.578125, 22.703125, 15.0078125, 0.255859375, 22.703125, 17.96875, 0.2255859375, 22.703125, 6.62109375, 0.48046875, 3.162109375, 5.2734375, 0.427734375, 9.7421875, 9.671875, 0.435546875, 9.7421875, 8.140625, 1.0546875, 12.7578125, 7.078125
Layer 17, 0.9921875, 21.796875, 18.453125, 0.287109375, 21.796875, 18.109375, 0.2412109375, 21.796875, 5.8125, 0.423828125, 2.859375, 6.7890625, 0.46875, 9.7890625, 9.0234375, 0.45703125, 9.7890625, 6.7890625, 0.765625, 18.921875, 6.4921875
Layer 18, 0.9375, 17.0, 16.828125, 0.302734375, 17.0, 22.234375, 0.2119140625, 17.0, 4.8671875, 0.494140625, 3.646484375, 7.28125, 0.40234375, 9.125, 10.5703125, 0.3359375, 9.125, 7.91015625, 1.1328125, 18.6875, 5.4765625
Layer 19, 0.76953125, 19.84375, 16.765625, 0.310546875, 19.84375, 18.078125, 0.224609375, 19.84375, 5.32421875, 0.5625, 4.69921875, 5.16015625, 0.3671875, 8.75, 9.4140625, 0.32421875, 8.75, 6.9140625, 1.09375, 30.328125, 8.515625
Layer 20, 0.71484375, 18.625, 16.75, 0.296875, 18.625, 19.0, 0.22265625, 18.625, 4.78515625, 0.671875, 3.349609375, 7.0546875, 0.38671875, 9.078125, 11.1484375, 0.56640625, 9.078125, 8.8984375, 0.95703125, 33.96875, 9.578125
Layer 21, 1.046875, 19.203125, 18.21875, 0.326171875, 19.203125, 19.203125, 0.162109375, 19.203125, 6.19140625, 0.57421875, 4.58984375, 13.9375, 0.318359375, 8.3828125, 12.0078125, 0.3125, 8.3828125, 8.3046875, 1.09375, 29.59375, 8.46875
Layer 22, 0.93359375, 19.109375, 20.5625, 0.369140625, 19.109375, 18.234375, 0.1787109375, 19.109375, 6.375, 0.546875, 5.015625, 10.671875, 0.294921875, 8.90625, 11.5234375, 0.2294921875, 8.90625, 9.8046875, 0.73046875, 29.625, 6.62109375
Layer 23, 0.87109375, 19.78125, 19.03125, 0.314453125, 19.78125, 20.0, 0.1513671875, 19.78125, 8.078125, 0.76953125, 7.06640625, 14.9453125, 0.369140625, 8.734375, 14.1953125, 0.26953125, 8.734375, 9.3515625, 0.388671875, 32.5, 5.4375
